trial_number,learning_rate,final_score,,,trial_number,learning_rate,final_score
0,0.9937,218,,,22,0.4869,277.8
1,0.0001,209.6,,,76,0.0001,267
2,0.0167,219.7,,,25,0.5131,262.7
3,1.0001,227.3,,,7,0.0001,257.3
4,0.0001,232.5,,,99,0.4387,256.4
5,0.9473,230.1,,,8,0.6218,253.7
6,0.493,224,,,11,0.0001,252.2
7,0.0001,257.3,,,57,0.0001,252
8,0.6218,253.7,,,10,0.6062,246.9
9,0.7218,212.1,,,20,0.8276,246.7
10,0.6062,246.9,,,58,0.2646,244.5
11,0.0001,252.2,,,13,0.0399,243.1
12,0.81,162.8,,,31,0.7163,242.4
13,0.0399,243.1,,,42,0.1618,242.3
14,0.0001,55.6,,,86,0.3512,242.1
15,0.0001,200,,,80,0.6307,241.8
16,0.1695,241.7,,,16,0.1695,241.7
17,0.0001,109.6,,,28,1.0001,241.5
18,0.0164,215,,,70,0.0001,241.1
19,0.1252,198.8,,,73,0.0001,238.8
20,0.8276,246.7,,,54,0.0559,238.6
21,0.7081,228.3,,,41,0.3402,237.8
22,0.4869,277.8,,,27,0.0001,237.4
23,0.883,216.2,,,62,0.4534,236.6
24,0.816,191.7,,,40,0.6169,236.4
25,0.5131,262.7,,,59,0.7283,235.8
26,0.1084,216.4,,,87,0.0001,234.7
27,0.0001,237.4,,,75,0.0001,234.2
28,1.0001,241.5,,,84,1.0001,233.5
29,0.0161,222.4,,,4,0.0001,232.5
30,0.0804,68,,,56,0.0001,231.9
31,0.7163,242.4,,,95,0.0001,231.4
32,0.7064,62.1,,,5,0.9473,230.1
33,0.0799,109.4,,,47,0.0238,230
34,0.0001,221.9,,,68,0.5644,229.2
35,0.4201,226.4,,,74,0.0001,229.1
36,0.1155,205,,,91,0.1354,228.5
37,0.1798,200.4,,,21,0.7081,228.3
38,0.1887,209.4,,,52,0.0001,227.9
39,0.8461,210.7,,,3,1.0001,227.3
40,0.6169,236.4,,,72,0.3151,226.5
41,0.3402,237.8,,,79,0.9903,226.4
42,0.1618,242.3,,,35,0.4201,226.4
43,0.0001,219.3,,,78,0.0726,225.7
44,0.6621,209.5,,,67,0.0001,224.2
45,0.6038,203.5,,,6,0.493,224
46,0.61,217.5,,,85,0.0001,223.6
47,0.0238,230,,,61,0.0001,223.3
48,0.2857,205.1,,,29,0.0161,222.4
49,0.334,212.4,,,69,0.4995,222.4
50,0.9114,214.3,,,89,0.7531,222.1
51,0.9843,211,,,34,0.0001,221.9
52,0.0001,227.9,,,53,0.7287,220.9
53,0.7287,220.9,,,66,0.986,220.8
54,0.0559,238.6,,,2,0.0167,219.7
55,0.0714,211.7,,,43,0.0001,219.3
56,0.0001,231.9,,,98,0.0001,218.9
57,0.0001,252,,,0,0.9937,218
58,0.2646,244.5,,,46,0.61,217.5
59,0.7283,235.8,,,26,0.1084,216.4
60,1.0001,207.1,,,23,0.883,216.2
61,0.0001,223.3,,,18,0.0164,215
62,0.4534,236.6,,,50,0.9114,214.3
63,1.0001,189.9,,,88,0.0001,214.3
64,0.1331,196.4,,,65,0.0001,213.7
65,0.0001,213.7,,,49,0.334,212.4
66,0.986,220.8,,,9,0.7218,212.1
67,0.0001,224.2,,,55,0.0714,211.7
68,0.5644,229.2,,,71,0.1123,211.7
69,0.4995,222.4,,,51,0.9843,211
70,0.0001,241.1,,,39,0.8461,210.7
71,0.1123,211.7,,,1,0.0001,209.6
72,0.3151,226.5,,,44,0.6621,209.5
73,0.0001,238.8,,,94,0.9039,209.5
74,0.0001,229.1,,,38,0.1887,209.4
75,0.0001,234.2,,,60,1.0001,207.1
76,0.0001,267,,,48,0.2857,205.1
77,0.0341,203.7,,,36,0.1155,205
78,0.0726,225.7,,,77,0.0341,203.7
79,0.9903,226.4,,,45,0.6038,203.5
80,0.6307,241.8,,,37,0.1798,200.4
81,0.6676,69.9,,,15,0.0001,200
82,0.5618,190.1,,,19,0.1252,198.8
83,0.0001,71.9,,,64,0.1331,196.4
84,1.0001,233.5,,,97,0.3977,195.6
85,0.0001,223.6,,,24,0.816,191.7
86,0.3512,242.1,,,82,0.5618,190.1
87,0.0001,234.7,,,63,1.0001,189.9
88,0.0001,214.3,,,90,0.7809,188.6
89,0.7531,222.1,,,93,0.4976,182.1
90,0.7809,188.6,,,92,0.7715,172.2
91,0.1354,228.5,,,12,0.81,162.8
92,0.7715,172.2,,,17,0.0001,109.6
93,0.4976,182.1,,,33,0.0799,109.4
94,0.9039,209.5,,,83,0.0001,71.9
95,0.0001,231.4,,,81,0.6676,69.9
96,0.0001,60.4,,,30,0.0804,68
97,0.3977,195.6,,,32,0.7064,62.1
98,0.0001,218.9,,,96,0.0001,60.4
99,0.4387,256.4,,,14,0.0001,55.6
