trial_number,learning_rate,final_score
0,0.0348,204.7
1,0.0001,217.7
2,0.0561,246.1
3,0.0001,242.4
4,0.824,220.3
5,0.0001,226.2
6,0.9107,226.4
7,0.0001,226.6
8,0.1569,218.1
9,0.7376,220.2
10,0.0001,69.9
11,0.2029,210.9
12,0.2357,248.6
13,0.3619,249.1
14,0.7783,214.5
15,0.0001,230.1
16,1.0001,225.3
17,0.3767,200.5
18,0.9259,232.3
19,0.0001,226
20,0.4246,214.9
21,0.8677,192.9
22,1.0001,198
23,0.0001,249.1
24,0.9983,239.7
25,0.0001,236
26,0.6977,68.4
27,0.1859,213.2
28,0.4537,241.7
29,0.5172,229.7
30,0.9221,218.4
31,0.1906,207.6
32,0.0111,251.5
33,0.0001,204.2
34,0.8915,237.3
35,0.9073,238.3
36,0.0001,221.2
37,0.1485,234.1
38,0.2108,238.6
39,0.217,245.8
40,0.0001,227
41,0.0001,194.1
42,0.9791,232.6
43,0.0001,61.9
44,0.4324,205.5
45,0.6801,227.5
46,0.0001,230.1
47,0.0001,222.4
48,0.8375,219.6
49,1.0001,237.7
50,0.0001,260.2
51,0.9102,52.5
52,1.0001,237.7
53,0.0001,229.2
54,0.2378,220.3
55,0.0001,70.2
56,0.0001,211.4
57,0.6722,66.1
58,0.0001,246
59,0.4638,81.1
60,0.0001,224.4
61,0.0825,234.2
62,0.0994,64.7
63,1.0001,65.7
64,0.6658,167.9
65,0.4097,201.4
66,0.694,206.3
67,0.0001,239.7
68,0.7316,222.5
69,0.817,184.3
70,0.0001,215.7
71,1.0001,253.6
72,0.0001,206.6
73,0.0001,216
74,0.4564,236
75,0.0001,220.3
76,0.0001,216.4
77,0.0029,236.5
78,0.0001,237.5
79,0.0001,211
80,0.3089,69.8
81,0.0001,213.2
82,1.0001,223.7
83,0.3337,239.8
84,0.578,245.3
85,0.6141,204.6
86,1.0001,252.1
87,0.5266,245.2
88,0.4462,235.9
89,0.3245,205.6
90,1.0001,234.1
91,0.0001,233.5
92,0.0001,242.1
93,0.5705,238.1
94,0.0001,250.8
95,0.3688,233
96,0.6548,230.5
97,1.0001,195.4
98,0.0001,222.4
99,0.3383,235.8
100,0.3234,70.5
101,0.524,252
102,0.337,106.4
103,0.0079,208.1
104,0.0889,232.8
105,0.4826,218.4
106,0.966,228.4
107,0.0805,74
108,0.3379,209.3
109,0.7006,214.6
110,0.2283,230.7
111,0.6927,221.5
112,0.5412,235.1
113,0.831,236.5
114,0.0001,78.3
115,0.0001,248.4
116,0.1436,213.5
117,0.6304,232.9
118,0.6133,253.5
119,0.2139,226.8
120,0.0001,65.8
121,0.9424,70.7
122,0.9539,207.3
123,0.038,222
124,0.0001,238.9
125,0.0001,227.7
126,0.2835,217
127,0.0001,253.9
128,0.9038,223.6
129,0.0001,216.1
130,1.0001,222.1
131,0.8857,248
132,0.5543,236.6
133,0.2794,82.3
134,0.3834,232.2
135,0.8489,206.5
136,0.9616,233.6
137,0.2156,224.2
138,0.0001,228.2
139,1.0001,238.2
140,0.5407,254.8
141,0.0001,208.4
142,0.9986,223.6
143,0.7972,225.8
144,0.0001,231.2
145,0.6791,240
146,0.1451,162
147,1.0001,230
148,0.7885,237.2
149,1.0001,227.6
150,0.8266,61.9
151,0.1528,245.1
152,0.0036,63.5
153,0.0001,204.7
154,0.5676,233.8
155,0.0001,235.2
156,0.4676,216.3
157,0.5632,243.9
158,0.2169,224
159,0.8797,79.3
160,0.4552,199.4
161,0.0001,131.8
162,0.7837,237.8
163,0.3955,207.3
164,0.5327,233.4
165,0.3638,219
166,0.8077,183.5
167,0.0001,230.6
168,0.7605,213.4
169,0.0001,116
170,0.3072,255.4
171,0.9993,221.3
172,0.0807,237.8
173,0.6873,220.2
174,0.0001,225.8
175,1.0001,237.1
176,0.0001,63.5
177,0.6354,201.6
178,0.0001,225.5
179,0.0001,240
180,0.877,76.3
181,0.3524,231.2
182,0.0001,230.6
183,0.1173,230.7
184,0.0001,204.9
185,0.4652,200.9
186,0.887,73.2
187,0.0001,218.4
188,0.1724,232.8
189,0.6571,97.7
190,0.0001,204.8
191,0.0001,66.5
192,0.0001,200.7
193,0.0001,221.4
194,0.659,212.1
195,1.0001,241.2
196,0.5701,212.9
197,0.6038,206.6
198,0.0001,215.6
199,0.9473,237
200,0.2165,232.3
201,1.0001,123.8
202,0.0001,69.5
203,0.9158,108
204,0.0001,216
205,0.642,233
206,0.9123,78.1
207,0.0001,246.3
208,0.8502,206.6
209,0.0001,249.7
210,0.2009,223
211,0.0001,230.2
212,0.0282,228.8
213,0.121,218.2
214,0.2321,219.2
215,0.2366,222.8
216,0.0001,239.4
217,1.0001,208.2
218,0.4181,76.6
219,0.7259,236.2
220,0.762,245.1
221,0.0001,203.6
222,0.1872,226.7
223,0.5438,61
224,0.0001,203.5
225,0.0487,222.7
226,0.0001,235.8
227,0.0435,242.6
228,0.4748,223.4
229,0.5921,247.3
230,0.6048,76.3
231,0.0001,215
232,0.6616,177.6
233,0.1314,67.6
234,0.0001,212.3
235,0.2983,222.2
236,1.0001,238.2
237,0.0001,229.6
238,0.948,202.9
239,0.5683,251.3
240,0.1518,69.3
241,0.4121,232.6
242,0.0001,230.1
243,0.5641,211.6
244,0.3818,262.4
245,0.991,218.6
246,0.456,259.3
247,0.3484,221.6
248,0.4302,187.3
249,1.0001,223.4
