trial_number,learning_rate,final_score,,,,,,,,,,,,,,,,,
19,1.0005,54.93223075,,,,,,,,,,,,,,,,,
36,1.0005,51.56246005,,,,,,,,,,,,,,,,,
38,1.0005,40.84233811,,,,,,,,,,,,,,,,,
48,1.0005,38.22969965,,,,,,,,,,,,,,,,,
54,1.0005,221.3425228,,,,,,,,,,,,,,,,,
65,1.0005,290.2420304,,,,,,,,,,,,,,,,,
74,1.0005,101.4951075,,,,,,,,,,,,,,,,,
77,1.0005,53.57056545,,,,,,,,,,,,,,,,,
82,1.0005,43.92770613,,,,,,,,,,,,,,,,,
102,1.0005,35.26384933,,,,,,,,,,,,,,,,,
103,1.0005,216.5535915,,,,,,,,,,,,,,,,,s
106,1.0005,39.80666622,,,,,,,,,,,,,,,,,
108,1.0005,50.90618346,,,,,,,,,,,,,,,,,
116,1.0005,108.8167104,,,,,,,,,,,,,,,,,
123,1.0005,54.4003981,,,,,,,,,,,,,,,,,
124,1.0005,50.013855,,,,,,,,,,,,,,,,,
128,1.0005,216.3234324,,,,,,,,,,,,,,,,,
138,1.0005,32.94721849,,,,,,,,,,,,,,,,,
153,1.0005,57.53894021,,,,,,,,,,,,,,,,,
165,1.0005,79.10395889,,,,,,,,,,,,,,,,,
169,1.0005,56.92211329,,,,,,,,,,,,,,,,,
174,1.0005,18.12140849,,,,,,,,,,,,,,,,,
180,1.0005,172.4306598,,,,,,,,,,,,,,,,,
193,1.0005,42.22929622,,,,,,,,,,,,,,,,,
194,1.0005,73.51483724,,,,,,,,,,,,,,,,,
9,0.4835,31.64433259,,,,,,,,,,,,,,,,,
142,0.4795,23.38936422,,,,,,,,,,,,,,,,,
56,0.476,94.30634196,,,,,,,,,,,,,,,,,
7,0.466,15.43014615,,,,,,,,,,,,,,,,,
117,0.466,118.1796744,,,,,,,,,,,,,,,,,
66,0.4645,118.4606009,,,,,,,,,,,,,,,,,
81,0.4555,79.11047793,,,,,,,,,,,,,,,,,
148,0.451,104.0907477,,,,,,,,,,,,,,,,,
178,0.4415,103.129132,,,,,,,,,,,,,,,,,
40,0.44,43.92691261,,,,,,,,,,,,,,,,,
109,0.4295,33.30002107,,,,,,,,,,,,,,,,,
164,0.4265,40.79045887,,,,,,,,,,,,,,,,,
131,0.423,25.80780402,,,,,,,,,,,,,,,,,
15,0.4225,67.44644536,,,,,,,,,,,,,,,,,
70,0.417,56.09824679,,,,,,,,,,,,,,,,,
137,0.411,100.4840374,,,,,,,,,,,,,,,,,
31,0.408,40.97500542,,,,,,,,,,,,,,,,,
34,0.4055,51.365056,,,,,,,,,,,,,,,,,
198,0.4,23.32404991,,,,,,,,,,,,,,,,,
72,0.398,41.70927798,,,,,,,,,,,,,,,,,
191,0.3845,98.33707703,,,,,,,,,,,,,,,,,
122,0.383,64.42900444,,,,,,,,,,,,,,,,,
145,0.379,48.36038121,,,,,,,,,,,,,,,,,
26,0.3595,44.11688803,,,,,,,,,,,,,,,,,
181,0.3575,69.01177631,,,,,,,,,,,,,,,,,
134,0.3515,334.5722559,,,,,,,,,,,,,,,,,
188,0.3515,45.6281,,,,,,,,,,,,,,,,,
89,0.3485,44.59290284,,,,,,,,,,,,,,,,,
83,0.336,44.53711639,,,,,,,,,,,,,,,,,
114,0.3285,35.35293115,,,,,,,,,,,,,,,,,
2,0.326,290.6007563,,,,,,,,,,,,,,,,,
139,0.32,55.55576012,,,,,,,,,,,,,,,,,
149,0.32,36.2490262,,,,,,,,,,,,,,,,,
176,0.315,31.03054335,,,,,,,,,,,,,,,,,
24,0.3145,63.73543652,,,,,,,,,,,,,,,,,
163,0.3145,49.8487204,,,,,,,,,,,,,,,,,
129,0.3065,63.02666863,,,,,,,,,,,,,,,,,
33,0.3055,21.45490349,,,,,,,,,,,,,,,,,
152,0.303,286.2399342,,,,,,,,,,,,,,,,,
64,0.3005,17.19375643,,,,,,,,,,,,,,,,,
58,0.294,215.5883136,,,,,,,,,,,,,,,,,
196,0.291,130.3203236,,,,,,,,,,,,,,,,,
68,0.286,147.5386389,,,,,,,,,,,,,,,,,
192,0.285,37.26809296,,,,,,,,,,,,,,,,,
50,0.2845,38.32309595,,,,,,,,,,,,,,,,,
111,0.2845,29.67612642,,,,,,,,,,,,,,,,,
146,0.284,47.08430718,,,,,,,,,,,,,,,,,
80,0.2835,30.03106719,,,,,,,,,,,,,,,,,
189,0.2835,89.43474515,,,,,,,,,,,,,,,,,
46,0.2815,58.49014393,,,,,,,,,,,,,,,,,
5,0.281,14.9217963,,,,,,,,,,,,,,,,,
55,0.2795,126.811744,,,,,,,,,,,,,,,,,
30,0.277,69.00526864,,,,,,,,,,,,,,,,,
91,0.274,41.28354956,,,,,,,,,,,,,,,,,
119,0.267,38.08205027,,,,,,,,,,,,,,,,,
118,0.2665,73.15323688,,,,,,,,,,,,,,,,,
127,0.2575,135.5600553,,,,,,,,,,,,,,,,,
179,0.248,239.2592289,,,,,,,,,,,,,,,,,
20,0.2465,45.63183081,,,,,,,,,,,,,,,,,
13,0.237,143.3786912,,,,,,,,,,,,,,,,,
136,0.236,179.2080061,,,,,,,,,,,,,,,,,
140,0.2245,47.91830364,,,,,,,,,,,,,,,,,
73,0.2155,182.6418142,,,,,,,,,,,,,,,,,
