learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,1,-0.4,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,2,3.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,3,3.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,4,4.1,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,5,13.2,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,6,3.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,7,0.7,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,8,11.1,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,9,5.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,10,4.3,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,11,6.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,12,6.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,13,-0.3,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,14,2.4,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,15,4.3,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,16,0.6,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,17,14.4,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,18,-1.9,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,19,1.5,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,20,4.6,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,21,7.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,22,11.2,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,23,6.1,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,24,-4.5,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,25,12.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,26,11.2,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,27,11.1,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,28,12.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,29,3.4,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,30,-0.1,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,31,7.6,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,32,13.6,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,33,-1.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,34,3.8,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,35,5.2,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,36,-1.1,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,37,-8.9,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,38,3.4,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,39,14.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,40,2.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,41,10.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,42,-0.1,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,43,1.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,44,14.3,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,45,3.6,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,46,-3.6,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,47,-1.6,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,48,4.9,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,49,8.0,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,50,5.7,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,51,-8.0,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,52,1.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,53,1.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,54,-2.0,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,55,5.9,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,56,3.5,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,57,9.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,58,6.6,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,59,-1.1,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,60,12.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,61,5.5,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,62,9.7,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,63,2.0,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,64,8.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,65,4.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,66,4.7,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,67,4.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,68,4.4,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,69,9.3,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,70,10.1,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,71,-0.4,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,72,7.9,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,73,-0.5,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,74,-4.6,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,75,5.3,4.0,
