learn_type,algo_type,model,num_hp,eval_type,iteration,hp1,hp2,eval_score
Reinforcement Learning,Gaussian,Bandit,1,Score,2,0.037,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,3,1.001,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,4,0.001,,1.7
Reinforcement Learning,Gaussian,Bandit,1,Score,3,0.07200000000000001,,0.7
Reinforcement Learning,Gaussian,Bandit,1,Score,4,1.001,,4.6
Reinforcement Learning,Gaussian,Bandit,1,Score,5,0.001,,0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,4,0.067,,-0.6
Reinforcement Learning,Gaussian,Bandit,1,Score,5,1.001,,6.9
Reinforcement Learning,Gaussian,Bandit,1,Score,6,0.001,,2.8
Reinforcement Learning,Gaussian,Bandit,1,Score,5,0.007,,2.4
Reinforcement Learning,Gaussian,Bandit,1,Score,6,1.001,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,7,0.001,,0.3
Reinforcement Learning,Gaussian,Bandit,1,Score,6,0.003,,-0.6
Reinforcement Learning,Gaussian,Bandit,1,Score,7,1.001,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,8,0.001,,1.2
Reinforcement Learning,Gaussian,Bandit,1,Score,7,0.04,,3.0
Reinforcement Learning,Gaussian,Bandit,1,Score,8,1.001,,2.5
Reinforcement Learning,Gaussian,Bandit,1,Score,9,0.001,,-0.1
Reinforcement Learning,Gaussian,Bandit,1,Score,8,0.06,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,9,0.001,,0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,10,1.001,,1.1
Reinforcement Learning,Gaussian,Bandit,1,Score,9,0.002,,1.7
Reinforcement Learning,Gaussian,Bandit,1,Score,10,1.001,,0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,11,0.001,,-1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,10,0.073,,6.4
Reinforcement Learning,Gaussian,Bandit,1,Score,11,1.001,,2.3
Reinforcement Learning,Gaussian,Bandit,1,Score,12,0.001,,3.0
Reinforcement Learning,Gaussian,Bandit,1,Score,11,0.035,,0.6
Reinforcement Learning,Gaussian,Bandit,1,Score,12,1.001,,0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,13,0.001,,-0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,12,0.04,,4.2
Reinforcement Learning,Gaussian,Bandit,1,Score,13,1.001,,3.1
Reinforcement Learning,Gaussian,Bandit,1,Score,14,0.001,,-0.8
Reinforcement Learning,Gaussian,Bandit,1,Score,13,0.078,,1.0
Reinforcement Learning,Gaussian,Bandit,1,Score,14,0.001,,-0.7
Reinforcement Learning,Gaussian,Bandit,1,Score,15,1.001,,-0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,14,0.074,,0.7
Reinforcement Learning,Gaussian,Bandit,1,Score,15,1.001,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,16,0.001,,1.6
